 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 8.2020    Time:   6:18:56
 Units: L = m    , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-01  0.10000E-01    2        2     3     3     T
        2  0.2000000E-01  0.10000E-01    2        4     3     3     T
        3  0.3300000E-01  0.13000E-01    3        7     3     3     T
        4  0.4990000E-01  0.16900E-01    3       10     3     3     T
        5  0.7187000E-01  0.21970E-01    3       13     3     3     T
        6  0.1004310E+00  0.28561E-01    3       16     3     3     T
        7  0.1375603E+00  0.37129E-01    3       19     3     3     T
        8  0.1858284E+00  0.48268E-01    4       23     3     3     T
        9  0.2340964E+00  0.48268E-01    3       26     3     3     T
       10  0.2968449E+00  0.62748E-01    3       29     3     3     T
       11  0.3784180E+00  0.81573E-01    3       32     3     3     T
       12  0.4844629E+00  0.10604E+00    3       35     3     3     T
       13  0.6223214E+00  0.13786E+00    3       38     3     3     T
       14  0.8015373E+00  0.17922E+00    4       42     3     3     T
       15  0.9807533E+00  0.17922E+00    4       46     3     3     T
       16  0.1159969E+01  0.17922E+00    3       49     3     3     T
       17  0.1392950E+01  0.23298E+00    4       53     3     3     T
       18  0.1625931E+01  0.23298E+00    4       57     3     3     T
       19  0.1858911E+01  0.23298E+00    4       61     3     3     T
       20  0.2091892E+01  0.23298E+00    3       64     3     3     T
       21  0.2394767E+01  0.30287E+00    3       67     3     3     T
       22  0.2788504E+01  0.39374E+00    3       70     3     3     T
       23  0.3300363E+01  0.51186E+00    4       74     3     3     T
       24  0.3812222E+01  0.51186E+00    5       79     3     3     T
       25  0.4324080E+01  0.51186E+00    3       82     3     3     T
       26  0.4989496E+01  0.66542E+00    7       89     3     3     T
       27  0.5455288E+01  0.46579E+00    5       94     3     3     T
       28  0.5921079E+01  0.46579E+00    4       98     3     3     T
       29  0.6386870E+01  0.46579E+00    4      102     3     3     T
       30  0.6852661E+01  0.46579E+00    4      106     3     3     T
       31  0.7318453E+01  0.46579E+00    3      109     3     3     T
       32  0.7923981E+01  0.60553E+00    3      112     3     3     T
       33  0.8710206E+01  0.78622E+00    4      116     3     3     T
       34  0.9496430E+01  0.78622E+00    3      119     3     3     T
       35  0.9863335E+01  0.36690E+00    6      135     3     3     T
       36  0.1023024E+02  0.36690E+00    3      138     3     3     T
       37  0.1070722E+02  0.47698E+00    7      145     3     3     T
       38  0.1104110E+02  0.33388E+00    4      149     3     3     T
       39  0.1137498E+02  0.33388E+00    4      153     3     3     T
       40  0.1170887E+02  0.33388E+00    4      157     3     3     T
       41  0.1203798E+02  0.32911E+00    2      159     3     3     T
       42  0.1246112E+02  0.42315E+00    2      161     3     3     T
       43  0.1309584E+02  0.63472E+00    4      165     3     3     T
       44  0.1373056E+02  0.63472E+00    4      169     3     3     T
       45  0.1436528E+02  0.63472E+00    3      172     3     3     T
       46  0.1500000E+02  0.63472E+00    3      175     3     3     T
       47  0.1573354E+02  0.73354E+00    4      179     3     3     T
       48  0.1646708E+02  0.73354E+00    3      182     3     3     T
       49  0.1742069E+02  0.95360E+00    4      186     3     3     T
       50  0.1837429E+02  0.95360E+00    4      190     3     3     T
       51  0.1932789E+02  0.95360E+00    9      199     3     3     T
       52  0.1955040E+02  0.22251E+00    5      214     3     3     T
       53  0.1977291E+02  0.22251E+00    2      216     3     3     T
       54  0.2006217E+02  0.28926E+00    4      220     3     3     T
       55  0.2015859E+02  0.96420E-01    2      232     3     3     T
       56  0.2028393E+02  0.12535E+00    4      236     3     3     T
       57  0.2040928E+02  0.12535E+00    2      238     3     3     T
       58  0.2057223E+02  0.16295E+00    2      240     3     3     T
       59  0.2078406E+02  0.21183E+00    2      242     3     3     T
       60  0.2105945E+02  0.27538E+00    2      244     3     3     T
       61  0.2141745E+02  0.35800E+00    2      246     3     3     T
       62  0.2188285E+02  0.46540E+00    3      249     3     3     T
       63  0.2248787E+02  0.60502E+00    4      253     3     3     T
       64  0.2309289E+02  0.60502E+00    3      256     3     3     T
       65  0.2386035E+02  0.76746E+00    3      259     3     3     T
       66  0.2488362E+02  0.10233E+01    3      262     3     3     T
       67  0.2616272E+02  0.12791E+01    4      266     3     3     T
       68  0.2744181E+02  0.12791E+01    3      269     3     3     T
       69  0.2829454E+02  0.85273E+00    5      284     3     3     T
       70  0.2914727E+02  0.85273E+00    3      287     3     3     T
       71  0.3000000E+02  0.85273E+00    4      291     3     3     T
       72  0.3085273E+02  0.85273E+00    4      295     3     3     T
       73  0.3113697E+02  0.28424E+00    5      310     3     3     T
       74  0.3142122E+02  0.28424E+00    2      312     3     3     T
       75  0.3179073E+02  0.36952E+00    3      315     3     3     T
       76  0.3195086E+02  0.16012E+00    2      327     3     3     T
       77  0.3215902E+02  0.20816E+00    4      331     3     3     T
       78  0.3236718E+02  0.20816E+00    3      334     3     3     T
       79  0.3263779E+02  0.27061E+00    2      336     3     3     T
       80  0.3298958E+02  0.35179E+00    2      338     3     3     T
       81  0.3344691E+02  0.45733E+00    2      340     3     3     T
       82  0.3404143E+02  0.59453E+00    2      342     3     3     T
       83  0.3481432E+02  0.77289E+00    3      345     3     3     T
       84  0.3583289E+02  0.10186E+01    3      348     3     3     T
       85  0.3714248E+02  0.13096E+01    3      351     3     3     T
       86  0.3871398E+02  0.15715E+01    4      355     3     3     T
       87  0.4028549E+02  0.15715E+01    3      358     3     3     T
       88  0.4264274E+02  0.23573E+01    6      364     3     3     T
       89  0.4342850E+02  0.78575E+00    5      379     3     3     T
       90  0.4421425E+02  0.78575E+00    3      382     3     3     T
       91  0.4500000E+02  0.78575E+00    3      385     3     3     T
       92  0.4602148E+02  0.10215E+01    7      392     3     3     T
       93  0.4625982E+02  0.23834E+00    2      404     3     3     T
       94  0.4656967E+02  0.30985E+00    4      408     3     3     T
       95  0.4687952E+02  0.30985E+00    3      411     3     3     T
       96  0.4728232E+02  0.40280E+00    4      415     3     3     T
       97  0.4768513E+02  0.40280E+00    2      417     3     3     T
       98  0.4820877E+02  0.52364E+00    2      419     3     3     T
       99  0.4888951E+02  0.68074E+00    2      421     3     3     T
      100  0.4977446E+02  0.88496E+00    3      424     3     3     T
      101  0.5091063E+02  0.11362E+01    3      427     3     3     T
      102  0.5242553E+02  0.15149E+01    3      430     3     3     T
      103  0.5431915E+02  0.18936E+01    3      433     3     3     T
      104  0.5715957E+02  0.28404E+01    5      438     3     3     T
      105  0.5810638E+02  0.94681E+00    4      452     3     3     T
      106  0.5905319E+02  0.94681E+00    3      455     3     3     T
      107  0.6000000E+02  0.94681E+00    3      458     3     3     T
      108  0.6123085E+02  0.12309E+01    3      461     3     3     T
      109  0.6276076E+02  0.15299E+01    7      468     3     3     T
      110  0.6313412E+02  0.37336E+00    5      483     3     3     T
      111  0.6350747E+02  0.37336E+00    2      485     3     3     T
      112  0.6399284E+02  0.48537E+00    3      488     3     3     T
      113  0.6462381E+02  0.63098E+00    4      492     3     3     T
      114  0.6525479E+02  0.63098E+00    4      496     3     3     T
      115  0.6588577E+02  0.63098E+00    2      498     3     3     T
      116  0.6670603E+02  0.82027E+00    2      500     3     3     T
      117  0.6774278E+02  0.10367E+01    3      503     3     3     T
      118  0.6919422E+02  0.14514E+01    3      506     3     3     T
      119  0.7112948E+02  0.19353E+01    3      509     3     3     T
      120  0.7306474E+02  0.19353E+01    3      512     3     3     T
      121  0.7500000E+02  0.19353E+01    4      516     3     3     T
      122  0.7750000E+02  0.25000E+01    5      521     3     3     T
      123  0.8000000E+02  0.25000E+01    4      525     3     3     T
      124  0.8083333E+02  0.83333E+00    5      540     3     3     T
      125  0.8166667E+02  0.83333E+00    2      542     3     3     T
      126  0.8270833E+02  0.10417E+01    3      545     3     3     T
      127  0.8319444E+02  0.48611E+00    5      560     3     3     T
      128  0.8368056E+02  0.48611E+00    2      562     3     3     T
      129  0.8431250E+02  0.63194E+00    2      564     3     3     T
      130  0.8512500E+02  0.81250E+00    5      569     3     3     T
      131  0.8593750E+02  0.81250E+00    4      573     3     3     T
      132  0.8675000E+02  0.81250E+00    2      575     3     3     T
      133  0.8783333E+02  0.10833E+01    2      577     3     3     T
      134  0.8891667E+02  0.10833E+01    3      580     3     3     T
      135  0.9000000E+02  0.10833E+01    3      583     3     3     T
      136  0.9187500E+02  0.18750E+01    3      586     3     3     T
      137  0.9406250E+02  0.21875E+01    3      589     3     3     T
      138  0.9679687E+02  0.27344E+01    5      594     3     3     T
      139  0.9953125E+02  0.27344E+01    5      599     3     3     T
      140  0.1022656E+03  0.27344E+01    5      604     3     3     T
