

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   765.00000  0.867810E-03  0.000000E+00  0.543217E-03  0.000000E+00  0.151937E+00  -1000.000      0.000      4.239      51
   780.00000  0.942210E-03  0.000000E+00  0.543231E-03  0.000000E+00  0.153250E+00  -1000.000      0.000      4.239      52
   795.00000  0.103401E-02  0.000000E+00  0.543246E-03  0.000000E+00  0.154545E+00  -1000.000      0.000      4.238      53
   810.00000  0.111546E-02  0.000000E+00  0.543260E-03  0.000000E+00  0.155833E+00  -1000.000      0.000      4.236      54
   825.00000  0.121581E-02  0.000000E+00  0.543275E-03  0.000000E+00  0.157120E+00  -1000.000      0.000      4.235      55
   840.00000  0.130311E-02  0.000000E+00  0.543289E-03  0.000000E+00  0.158394E+00  -1000.000      0.000      4.237      56
   855.00000  0.140406E-02  0.000000E+00  0.543304E-03  0.000000E+00  0.159635E+00  -1000.000      0.000      4.235      57
   870.00000  0.150186E-02  0.000000E+00  0.543318E-03  0.000000E+00  0.160859E+00  -1000.000      0.000      4.234      58
   885.00000  0.159741E-02  0.000000E+00  0.543332E-03  0.000000E+00  0.162074E+00  -1000.000      0.000      4.234      59
   900.00000  0.170031E-02  0.000000E+00  0.543347E-03  0.000000E+00  0.163286E+00  -1000.000      0.000      4.234      60
   915.00000  0.177066E-02  0.000000E+00  0.543361E-03  0.000000E+00  0.164498E+00  -1000.000      0.000      4.234      61
   930.00000  0.184131E-02  0.000000E+00  0.543376E-03  0.000000E+00  0.165684E+00  -1000.000      0.000      4.233      62
   945.00000  0.194841E-02  0.000000E+00  0.543390E-03  0.000000E+00  0.166848E+00  -1000.000      0.000      4.233      63
   960.00000  0.204291E-02  0.000000E+00  0.543405E-03  0.000000E+00  0.168001E+00  -1000.000      0.000      4.234      64
   975.00000  0.210786E-02  0.000000E+00  0.543419E-03  0.000000E+00  0.169147E+00  -1000.000      0.000      4.234      65
   990.00000  0.217566E-02  0.000000E+00  0.543434E-03  0.000000E+00  0.170290E+00  -1000.000      0.000      4.234      66
  1005.00000  0.225711E-02  0.000000E+00  0.543448E-03  0.000000E+00  0.171433E+00  -1000.000      0.000      4.235      67
  1020.00000  0.235266E-02  0.000000E+00  0.543462E-03  0.000000E+00  0.172552E+00  -1000.000      0.000      4.235      68
  1035.00000  0.244641E-02  0.000000E+00  0.543477E-03  0.000000E+00  0.173653E+00  -1000.000      0.000      4.234      69
  1050.00000  0.249756E-02  0.000000E+00  0.543491E-03  0.000000E+00  0.174743E+00  -1000.000      0.000      4.234      70
  1065.00000  0.257856E-02  0.000000E+00  0.543506E-03  0.000000E+00  0.175826E+00  -1000.000      0.000      4.234      71
  1080.00000  0.263871E-02  0.000000E+00  0.543520E-03  0.000000E+00  0.176906E+00  -1000.000      0.000      4.234      72
  1095.00000  0.270996E-02  0.000000E+00  0.543535E-03  0.000000E+00  0.177986E+00  -1000.000      0.000      4.233      73
  1110.00000  0.277221E-02  0.000000E+00  0.543549E-03  0.000000E+00  0.179052E+00  -1000.000      0.000      4.233      74
  1125.00000  0.280326E-02  0.000000E+00  0.543563E-03  0.000000E+00  0.180098E+00  -1000.000      0.000      4.233      75
  1140.00000  0.284376E-02  0.000000E+00  0.543578E-03  0.000000E+00  0.181132E+00  -1000.000      0.000      4.233      76
  1155.00000  0.288846E-02  0.000000E+00  0.543592E-03  0.000000E+00  0.182158E+00  -1000.000      0.000      4.232      77
  1170.00000  0.293196E-02  0.000000E+00  0.543607E-03  0.000000E+00  0.183180E+00  -1000.000      0.000      4.233      78
  1185.00000  0.296841E-02  0.000000E+00  0.543621E-03  0.000000E+00  0.184202E+00  -1000.000      0.000      4.235      79
  1200.00000  0.300336E-02  0.000000E+00  0.543635E-03  0.000000E+00  0.185222E+00  -1000.000      0.000      4.235      80
  1215.00000  0.301851E-02  0.000000E+00  0.543650E-03  0.000000E+00  0.186223E+00  -1000.000      0.000      4.234      81
  1230.00000  0.303381E-02  0.000000E+00  0.543664E-03  0.000000E+00  0.187209E+00  -1000.000      0.000      4.236      82
  1245.00000  0.304956E-02  0.000000E+00  0.543679E-03  0.000000E+00  0.188189E+00  -1000.000      0.000      4.239      83
  1260.00000  0.306576E-02  0.000000E+00  0.543693E-03  0.000000E+00  0.189163E+00  -1000.000      0.000      4.240      84
  1275.00000  0.308151E-02  0.000000E+00  0.543708E-03  0.000000E+00  0.190133E+00  -1000.000      0.000      4.240      85
  1290.00000  0.309638E-02  0.000000E+00  0.543722E-03  0.000000E+00  0.191104E+00  -1000.000      0.000      4.243      86
  1305.00000  0.311213E-02  0.000000E+00  0.543736E-03  0.000000E+00  0.192073E+00  -1000.000      0.000      4.247      87
  1320.00000  0.312743E-02  0.000000E+00  0.543751E-03  0.000000E+00  0.193024E+00  -1000.000      0.000      4.250      88
  1335.00000  0.314303E-02  0.000000E+00  0.543765E-03  0.000000E+00  0.193963E+00  -1000.000      0.000      4.246      89
  1350.00000  0.315833E-02  0.000000E+00  0.543780E-03  0.000000E+00  0.194895E+00  -1000.000      0.000      4.248      90
  1365.00000  0.317363E-02  0.000000E+00  0.543794E-03  0.000000E+00  0.195821E+00  -1000.000      0.000      4.250      91
  1380.00000  0.318968E-02  0.000000E+00  0.543808E-03  0.000000E+00  0.196745E+00  -1000.000      0.000      4.252      92
  1395.00000  0.320467E-02  0.000000E+00  0.543823E-03  0.000000E+00  0.197668E+00  -1000.000      0.000      4.252      93
  1410.00000  0.321922E-02  0.000000E+00  0.543837E-03  0.000000E+00  0.198591E+00  -1000.000      0.000      4.252      94
  1425.00000  0.323274E-02  0.000000E+00  0.543851E-03  0.000000E+00  0.199503E+00  -1000.000      0.000      4.253      95
  1440.00000  0.324517E-02  0.000000E+00  0.543866E-03  0.000000E+00  0.200400E+00  -1000.000      0.000      4.252      96
  1455.00000  0.325725E-02  0.000000E+00  0.543880E-03  0.000000E+00  0.201288E+00  -1000.000      0.000      4.252      97
  1470.00000  0.326865E-02  0.000000E+00  0.543894E-03  0.000000E+00  0.202170E+00  -1000.000      0.000      4.250      98
  1485.00000  0.327974E-02  0.000000E+00  0.543909E-03  0.000000E+00  0.203048E+00  -1000.000      0.000      4.249      99
  1500.00000  0.329149E-02  0.000000E+00  0.543923E-03  0.000000E+00  0.203923E+00  -1000.000      0.000      4.250     100
  1515.00000  0.330313E-02  0.000000E+00  0.543937E-03  0.000000E+00  0.204798E+00  -1000.000      0.000      4.251     101
  1530.00000  0.331458E-02  0.000000E+00  0.543952E-03  0.000000E+00  0.205673E+00  -1000.000      0.000      4.252     102
  1545.00000  0.332542E-02  0.000000E+00  0.543966E-03  0.000000E+00  0.206534E+00  -1000.000      0.000      4.254     103
  1560.00000  0.333658E-02  0.000000E+00  0.543980E-03  0.000000E+00  0.207383E+00  -1000.000      0.000      4.250     104
  1575.00000  0.334923E-02  0.000000E+00  0.543995E-03  0.000000E+00  0.208227E+00  -1000.000      0.000      4.252     105
  1590.00000  0.336207E-02  0.000000E+00  0.544009E-03  0.000000E+00  0.209066E+00  -1000.000      0.000      4.252     106
  1605.00000  0.337428E-02  0.000000E+00  0.544023E-03  0.000000E+00  0.209901E+00  -1000.000      0.000      4.252     107
  1620.00000  0.338679E-02  0.000000E+00  0.544038E-03  0.000000E+00  0.210732E+00  -1000.000      0.000      4.250     108
  1635.00000  0.339843E-02  0.000000E+00  0.544052E-03  0.000000E+00  0.211563E+00  -1000.000      0.000      4.251     109
  1650.00000  0.341001E-02  0.000000E+00  0.544066E-03  0.000000E+00  0.212394E+00  -1000.000      0.000      4.251     110
  1665.00000  0.342063E-02  0.000000E+00  0.544081E-03  0.000000E+00  0.213216E+00  -1000.000      0.000      4.251     111
  1680.00000  0.343040E-02  0.000000E+00  0.544095E-03  0.000000E+00  0.214028E+00  -1000.000      0.000      4.251     112
  1695.00000  0.344070E-02  0.000000E+00  0.544109E-03  0.000000E+00  0.214831E+00  -1000.000      0.000      4.251     113
  1710.00000  0.345077E-02  0.000000E+00  0.544124E-03  0.000000E+00  0.215629E+00  -1000.000      0.000      4.251     114
  1725.00000  0.345966E-02  0.000000E+00  0.544138E-03  0.000000E+00  0.216424E+00  -1000.000      0.000      4.252     115
  1740.00000  0.346913E-02  0.000000E+00  0.544153E-03  0.000000E+00  0.217216E+00  -1000.000      0.000      4.251     116
  1755.00000  0.347888E-02  0.000000E+00  0.544167E-03  0.000000E+00  0.218007E+00  -1000.000      0.000      4.251     117
  1770.00000  0.348878E-02  0.000000E+00  0.544181E-03  0.000000E+00  0.218797E+00  -1000.000      0.000      4.250     118
  1785.00000  0.349863E-02  0.000000E+00  0.544196E-03  0.000000E+00  0.219584E+00  -1000.000      0.000      4.249     119
  1800.00000  0.350828E-02  0.000000E+00  0.544210E-03  0.000000E+00  0.220360E+00  -1000.000      0.000      4.250     120
  1815.00000  0.351755E-02  0.000000E+00  0.544224E-03  0.000000E+00  0.221128E+00  -1000.000      0.000      4.249     121
  1830.00000  0.352605E-02  0.000000E+00  0.544239E-03  0.000000E+00  0.221891E+00  -1000.000      0.000      4.249     122
  1845.00000  0.353496E-02  0.000000E+00  0.544253E-03  0.000000E+00  0.222648E+00  -1000.000      0.000      4.249     123
  1860.00000  0.354354E-02  0.000000E+00  0.544267E-03  0.000000E+00  0.223403E+00  -1000.000      0.000      4.249     124
  1875.00000  0.355227E-02  0.000000E+00  0.544282E-03  0.000000E+00  0.224156E+00  -1000.000      0.000      4.248     125
  1890.00000  0.356088E-02  0.000000E+00  0.544296E-03  0.000000E+00  0.224907E+00  -1000.000      0.000      4.248     126
  1905.00000  0.356961E-02  0.000000E+00  0.544310E-03  0.000000E+00  0.225657E+00  -1000.000      0.000      4.248     127
  1920.00000  0.357836E-02  0.000000E+00  0.544325E-03  0.000000E+00  0.226406E+00  -1000.000      0.000      4.248     128
  1935.00000  0.358664E-02  0.000000E+00  0.544339E-03  0.000000E+00  0.227144E+00  -1000.000      0.000      4.248     129
  1950.00000  0.359460E-02  0.000000E+00  0.544353E-03  0.000000E+00  0.227876E+00  -1000.000      0.000      4.249     130
  1965.00000  0.361245E-02  0.000000E+00  0.544368E-03  0.000000E+00  0.228603E+00  -1000.000      0.000      4.250     131
  1980.00000  0.362955E-02  0.000000E+00  0.544382E-03  0.000000E+00  0.229325E+00  -1000.000      0.000      4.248     132
  1995.00000  0.365010E-02  0.000000E+00  0.544396E-03  0.000000E+00  0.230044E+00  -1000.000      0.000      4.248     133
  2010.00000  0.367515E-02  0.000000E+00  0.544411E-03  0.000000E+00  0.230761E+00  -1000.000      0.000      4.248     134
  2025.00000  0.370860E-02  0.000000E+00  0.544425E-03  0.000000E+00  0.231476E+00  -1000.000      0.000      4.249     135
  2040.00000  0.374925E-02  0.000000E+00  0.544439E-03  0.000000E+00  0.232191E+00  -1000.000      0.000      4.250     136
  2055.00000  0.379350E-02  0.000000E+00  0.544454E-03  0.000000E+00  0.232904E+00  -1000.000      0.000      4.246     137
  2070.00000  0.384375E-02  0.000000E+00  0.544468E-03  0.000000E+00  0.233613E+00  -1000.000      0.000      4.244     138
  2085.00000  0.390150E-02  0.000000E+00  0.544482E-03  0.000000E+00  0.234313E+00  -1000.000      0.000      4.243     139
  2100.00000  0.396750E-02  0.000000E+00  0.544496E-03  0.000000E+00  0.235006E+00  -1000.000      0.000      4.242     140
  2115.00000  0.404145E-02  0.000000E+00  0.544511E-03  0.000000E+00  0.235694E+00  -1000.000      0.000      4.241     141
  2130.00000  0.412110E-02  0.000000E+00  0.544525E-03  0.000000E+00  0.236379E+00  -1000.000      0.000      4.240     142
  2145.00000  0.420705E-02  0.000000E+00  0.544539E-03  0.000000E+00  0.237062E+00  -1000.000      0.000      4.240     143
